id,booking_id,provider_id,amount,currency,status,type,scheduled_at,paid_at,method,reference,batch_id,created_at,meta.phase,meta.stage,meta.split,meta.commissionable_base,meta.pass_through,meta.provider_subtotal,meta.rates.commission_rate,meta.rates.client_fee_rate,meta.rates.vat_rate,meta.commission,meta.vat_on_commission,meta.client_fee,meta.client_fee_vat,meta.provider_net_total_estimate,meta.reference,meta.stage_estimates.first50,meta.stage_estimates.final50,meta.stage_net_estimate,meta
16,54,3,11251.12,ZAR,queued,final50,2025-12-09T09:00:00,,,jukxrl8bz6,,2025-11-07T08:26:48.016050,webhook,final50,final50,23000,1626.27,24626.27,0.075,0.03,0.15,1846.97,277.05,738.79,110.82,22502.25,jukxrl8bz6,11251.13,11251.12,11251.12
15,54,3,11251.13,ZAR,paid,first50,2025-11-07T08:26:47.970606,2025-11-07T09:40:05.498803,EFT,TSWE,,2025-11-07T08:26:47.935717,webhook,first50,first50,23000,1626.27,24626.27,0.075,0.03,0.15,1846.97,277.05,738.79,110.82,22502.25,jukxrl8bz6,11251.13,11251.12,11251.13
14,55,3,11251.12,ZAR,queued,final50,2025-11-28T09:00:00,,,vgy2tg888f,,2025-11-07T08:24:39.935365,webhook,final50,final50,23000,1626.27,24626.27,0.075,0.03,0.15,1846.97,277.05,738.79,110.82,22502.25,vgy2tg888f,11251.13,11251.12,11251.12
13,55,3,11251.13,ZAR,queued,first50,2025-11-07T08:24:39.875633,,,vgy2tg888f,,2025-11-07T08:24:39.835324,webhook,first50,first50,23000,1626.27,24626.27,0.075,0.03,0.15,1846.97,277.05,738.79,110.82,22502.25,vgy2tg888f,11251.13,11251.12,11251.13
12,56,3,11251.34,ZAR,queued,final50,2025-11-27T09:00:00,,,nss1jotsxv,,2025-11-07T07:58:42.168517,webhook,final50,final50,23000,1626.74,24626.74,0.075,0.03,0.15,1847.01,277.05,738.8,110.82,22502.68,nss1jotsxv,11251.34,11251.34,11251.34
11,56,3,11251.34,ZAR,queued,first50,2025-11-07T07:58:42.112698,,,nss1jotsxv,,2025-11-07T07:58:42.075426,webhook,first50,first50,23000,1626.74,24626.74,0.075,0.03,0.15,1847.01,277.05,738.8,110.82,22502.68,nss1jotsxv,11251.34,11251.34,11251.34
10,53,3,11235.67,ZAR,queued,final50,2025-12-05T09:00:00,,,y9jpiaes6e,,2025-11-06T18:55:36.598890,webhook,final50,final50,23000,1592.43,24592.43,0.075,0.03,0.15,1844.43,276.66,737.77,110.67,22471.34,y9jpiaes6e,11235.67,11235.67,11235.67
9,53,3,11235.67,ZAR,queued,first50,2025-11-06T18:55:36.545509,,,y9jpiaes6e,,2025-11-06T18:55:36.507480,webhook,first50,first50,23000,1592.43,24592.43,0.075,0.03,0.15,1844.43,276.66,737.77,110.67,22471.34,y9jpiaes6e,11235.67,11235.67,11235.67
8,,,0,ZAR,paid,,,2025-11-06T17:37:15.016827,dd,dd,pb_1eadb01605,2025-11-06T17:36:42.874228,,,,,,,,,,,,,,,,,,,
7,50,3,14160.37,ZAR,paid,final50,2025-11-13T09:00:00,2025-11-06T17:45:25.548943,testing,testing,,2025-11-06T13:42:11.799036,webhook,final50,final50,23000,1626.74,24626.74,0.075,0.03,0.15,1847.01,277.05,738.8,110.82,22502.68,tawtzog2td,11251.34,11251.34,11251.34,
6,50,3,14160.38,ZAR,queued,first50,2025-11-06T13:42:11.745548,,,tawtzog2td,,2025-11-06T13:42:11.706581,webhook,first50,first50,23000,1626.74,24626.74,0.075,0.03,0.15,1847.01,277.05,738.8,110.82,22502.68,tawtzog2td,11251.34,11251.34,11251.34,
5,49,3,14140.64,ZAR,paid,final50,2025-11-18T09:00:00,2025-11-06T11:37:30.190366,eft,rkhc1sjq62,,2025-11-06T08:04:45.858864,webhook,,final50,,,,,,,,,,,,,,,,
4,49,3,14140.65,ZAR,queued,first50,2025-11-06T08:04:45.814987,,,rkhc1sjq62,,2025-11-06T08:04:45.796203,webhook,,first50,,,,,,,,,,,,,,,,
3,48,3,14140.64,ZAR,queued,final50,2025-11-18T09:00:00,,,kn0fkpplnq,,2025-11-06T07:12:54.833780,webhook,,final50,,,,,,,,,,,,,,,,
2,48,3,14140.65,ZAR,queued,first50,2025-11-06T07:12:54.789677,,,kn0fkpplnq,,2025-11-06T07:12:54.768445,webhook,,first50,,,,,,,,,,,,,,,,
1,,3,1288.8,ZAR,queued,,,,,,pb_38a9234850,2025-11-05T22:16:07.433267,,,,,,,,,,,,,,,,,,,